team1,team2,score1,score2
partizan,backa palanka,1,0
radnicki nis,vojvodina,1,0
proleter,partizan,0,1
dinamo vranje,rad,0,1
backa palanka,mladost lucani,0,2
macva sabac,zemun,0,2
crvena zvezda,radnik surdulica,6,0
spartak subotic,napredak krus,0,1
vozdovac,cukaricki,1,3
partizan,rad,1,0
cukaricki,spartak subotic,3,1
napredak krus,dinamo vranje,3,0
zemun,backa palanka,2,2
radnik surdulica,radnicki nis,1,2
vojvodina,vozdovac,3,0
rad,macva sabac,1,0
mladost lucani,proleter,1,0
partizan,crvena zvezda,1,1
napredak krus,crvena zvezda,0,3
crvena zvezda,mladost lucani,2,1
spartak subotic,vojvodina,0,1
proleter,zemun,4,1
backa palanka,rad,1,0
vozdovac,radnik surdulica,1,0
dinamo vranje,macva sabac,1,0
napredak krus,cukaricki,1,1
radnicki nis,partizan,2,2
partizan,vozdovac,4,0
mladost lucani,radnicki nis,0,1
radnik surdulica,spartak subotic,0,0
macva sabac,backa palanka,2,0
rad,proleter,1,3
vojvodina,napredak krus,0,1
cukaricki,dinamo vranje,6,1
zemun,crvena zvezda,1,2
cukaricki,vojvodina,1,0
vozdovac,mladost lucani,1,1
napredak krus,radnik surdulica,1,1
proleter,macva sabac,1,0
crvena zvezda,rad,3,1
radnicki nis,zemun,2,0
spartak subotic,partizan,0,0
dinamo vranje,backa palanka,1,1
zemun,vozdovac,2,1
vojvodina,dinamo vranje,2,0
partizan,napredak krus,1,1
radnik surdulica,cukaricki,1,0
rad,radnicki nis,0,0
backa palanka,proleter,0,1
macva sabac,crvena zvezda,0,2
mladost lucani,spartak subotic,2,1
spartak subotic,zemun,2,2
dinamo vranje,proleter,2,4
vozdovac,rad,2,0
napredak krus,mladost lucani,4,1
radnicki nis,macva sabac,3,0
vojvodina,radnik surdulica,1,0
cukaricki,partizan,1,1
crvena zvezda,backa palanka,3,1
proleter,crvena zvezda,0,2
backa palanka,radnicki nis,0,2
radnik surdulica,dinamo vranje,2,0
mladost lucani,cukaricki,3,4
zemun,napredak krus,0,2
rad,spartak subotic,1,1
macva sabac,vozdovac,2,0
partizan,vojvodina,2,0
proleter,radnicki nis,1,2
partizan,radnik surdulica,2,0
macva sabac,spartak subotic,0,0
backa palanka,vozdovac,1,0
zemun,cukaricki,0,3
dinamo vranje,crvena zvezda,0,3
mladost lucani,vojvodina,1,0
rad,napredak krus,0,2
cukaricki,rad,2,1
spartak subotic,backa palanka,3,0
napredak krus,macva sabac,2,0
radnik surdulica,mladost lucani,1,0
vojvodina,zemun,0,0
vozdovac,proleter,0,0
radnicki nis,crvena zvezda,2,2
partizan,dinamo vranje,6,0
backa palanka,napredak krus,3,3
rad,vojvodina,0,1
zemun,radnik surdulica,0,0
macva sabac,cukaricki,1,0
mladost lucani,partizan,1,1
dinamo vranje,radnicki nis,0,4
proleter,spartak subotic,2,2
crvena zvezda,vozdovac,2,0
spartak subotic,crvena zvezda,1,3
vojvodina,macva sabac,1,1
mladost lucani,dinamo vranje,2,0
cukaricki,backa palanka,3,0
napredak krus,proleter,1,1
vozdovac,radnicki nis,0,1
radnik surdulica,rad,1,0
partizan,zemun,1,0
crvena zvezda,napredak krus,3,0
radnicki nis,spartak subotic,3,0
macva sabac,radnik surdulica,1,2
dinamo vranje,vozdovac,1,2
zemun,mladost lucani,0,3
proleter,cukaricki,0,0
backa palanka,vojvodina,0,0
rad,partizan,0,3
partizan,macva sabac,0,0
radnik surdulica,backa palanka,3,2
spartak subotic,vozdovac,3,2
vojvodina,proleter,0,0
cukaricki,crvena zvezda,1,2
zemun,dinamo vranje,1,2
napredak krus,radnicki nis,1,2
mladost lucani,rad,0,0
vozdovac,napredak krus,4,0
backa palanka,partizan,0,3
proleter,radnik surdulica,0,0
macva sabac,mladost lucani,0,1
radnicki nis,cukaricki,2,0
crvena zvezda,vojvodina,4,0
dinamo vranje,spartak subotic,1,0
rad,zemun,2,2
vojvodina,radnicki nis,0,1
zemun,macva sabac,0,0
napredak krus,spartak subotic,0,0
mladost lucani,backa palanka,5,0
radnik surdulica,crvena zvezda,0,1
partizan,proleter,3,0
cukaricki,vozdovac,3,0
rad,dinamo vranje,1,1
macva sabac,rad,0,0
vozdovac,vojvodina,1,0
radnicki nis,radnik surdulica,4,1
dinamo vranje,napredak krus,4,0
proleter,mladost lucani,2,0
spartak subotic,cukaricki,1,2
crvena zvezda,partizan,1,1
backa palanka,zemun,2,0
zemun,proleter,0,0
cukaricki,napredak krus,2,1
radnik surdulica,vozdovac,2,1
macva sabac,dinamo vranje,0,0
rad,backa palanka,1,1
mladost lucani,crvena zvezda,1,3
vojvodina,spartak subotic,1,2
partizan,radnicki nis,0,1
radnicki nis,mladost lucani,1,0
napredak krus,vojvodina,0,0
crvena zvezda,zemun,4,0
dinamo vranje,cukaricki,0,0
spartak subotic,radnik surdulica,3,2
vozdovac,partizan,1,0
backa palanka,macva sabac,0,1
proleter,rad,0,0
backa palanka,dinamo vranje,5,1
zemun,radnicki nis,0,1
partizan,spartak subotic,1,3
radnik surdulica,napredak krus,1,0
macva sabac,proleter,2,1
rad,crvena zvezda,0,3
mladost lucani,vozdovac,3,1
vojvodina,cukaricki,0,0
proleter,backa palanka,3,0
spartak subotic,mladost lucani,1,0
dinamo vranje,vojvodina,1,3
radnicki nis,rad,2,0
cukaricki,radnik surdulica,2,0
crvena zvezda,macva sabac,2,1
napredak krus,partizan,1,0
vozdovac,zemun,3,1
rad,vozdovac,0,1
zemun,spartak subotic,0,2
backa palanka,crvena zvezda,1,3
proleter,dinamo vranje,0,0
radnik surdulica,vojvodina,0,1
macva sabac,radnicki nis,0,0
mladost lucani,napredak krus,2,0
partizan,cukaricki,3,2
cukaricki,mladost lucani,0,0
vojvodina,partizan,3,2
dinamo vranje,radnik surdulica,0,3
napredak krus,zemun,1,0
vozdovac,macva sabac,1,0
spartak subotic,rad,1,0
radnicki nis,backa palanka,5,1
crvena zvezda,proleter,4,0
ural,anzhi,0,1
spartak moskva,orenburg,1,0
rostov,akhmat grozny,1,0
yenisey,zenit,0,2
arsenal tula,dynamo mosc,0,0
rubin kazan,krasnodar,2,1
ufa,lokomotiv moskva,0,0
samara,cska moskva,0,0
dynamo mosc,rubin kazan,1,1
ural,krasnodar,1,2
zenit,arsenal tula,1,0
lokomotiv moskva,spartak moskva,0,0
samara,orenburg,0,3
cska moskva,rostov,0,1
akhmat grozny,yenisey,1,0
ufa,anzhi,3,0
ural,dynamo mosc,1,1
yenisey,cska moskva,1,1
spartak moskva,anzhi,1,0
rostov,samara,0,1
orenburg,lokomotiv moskva,1,0
arsenal tula,akhmat grozny,3,1
ufa,krasnodar,0,1
rubin kazan,zenit,0,1
anzhi,orenburg,1,3
cska moskva,arsenal tula,3,0
krasnodar,spartak moskva,0,1
akhmat grozny,rubin kazan,1,1
samara,lokomotiv moskva,0,1
zenit,ural,4,1
rostov,yenisey,4,0
dynamo mosc,ufa,3,0
arsenal tula,rostov,0,1
ural,akhmat grozny,2,1
rubin kazan,cska moskva,1,1
spartak moskva,dynamo mosc,2,1
orenburg,krasnodar,1,1
ufa,zenit,0,2
lokomotiv moskva,anzhi,2,1
yenisey,samara,1,0
rostov,rubin kazan,1,1
samara,anzhi,1,0
cska moskva,ural,4,0
krasnodar,lokomotiv moskva,2,1
yenisey,arsenal tula,0,0
dynamo mosc,orenburg,2,0
zenit,spartak moskva,0,0
akhmat grozny,ufa,2,1
lokomotiv moskva,dynamo mosc,1,1
rubin kazan,yenisey,1,0
ufa,cska moskva,0,3
arsenal tula,samara,4,0
orenburg,zenit,1,2
anzhi,krasnodar,0,4
spartak moskva,akhmat grozny,1,2
ural,rostov,1,1
yenisey,ural,1,2
dynamo mosc,anzhi,0,1
arsenal tula,rubin kazan,2,2
rostov,ufa,0,0
akhmat grozny,orenburg,1,1
zenit,lokomotiv moskva,5,3
cska moskva,spartak moskva,1,1
samara,krasnodar,0,3
orenburg,cska moskva,0,1
ural,arsenal tula,2,1
ufa,yenisey,2,1
lokomotiv moskva,akhmat grozny,2,0
anzhi,zenit,2,1
krasnodar,dynamo mosc,3,0
spartak moskva,rostov,0,1
rubin kazan,samara,2,1
arsenal tula,ufa,1,1
samara,dynamo mosc,1,0
rostov,orenburg,0,1
rubin kazan,ural,1,0
yenisey,spartak moskva,2,3
akhmat grozny,anzhi,0,0
zenit,krasnodar,2,1
cska moskva,lokomotiv moskva,0,1
anzhi,cska moskva,0,2
lokomotiv moskva,rostov,2,1
orenburg,yenisey,0,0
ural,samara,1,1
ufa,rubin kazan,0,0
dynamo mosc,zenit,1,0
spartak moskva,arsenal tula,2,3
krasnodar,akhmat grozny,0,1
ural,ufa,1,1
arsenal tula,orenburg,2,2
rostov,anzhi,1,0
yenisey,lokomotiv moskva,0,3
akhmat grozny,dynamo mosc,0,0
cska moskva,krasnodar,1,2
samara,zenit,0,1
rubin kazan,spartak moskva,1,1
lokomotiv moskva,arsenal tula,3,1
dynamo mosc,cska moskva,0,0
zenit,akhmat grozny,1,0
krasnodar,rostov,2,2
spartak moskva,ural,1,2
orenburg,rubin kazan,1,0
ufa,samara,1,2
anzhi,yenisey,2,1
arsenal tula,anzhi,2,0
ural,orenburg,2,1
samara,akhmat grozny,1,2
rostov,dynamo mosc,0,0
ufa,spartak moskva,2,0
krasnodar,yenisey,3,0
rubin kazan,lokomotiv moskva,0,0
cska moskva,zenit,2,0
akhmat grozny,cska moskva,0,2
lokomotiv moskva,ural,1,2
dynamo mosc,yenisey,1,2
orenburg,ufa,1,0
anzhi,rubin kazan,1,1
spartak moskva,samara,3,1
krasnodar,arsenal tula,3,0
zenit,rostov,2,0
rubin kazan,dynamo mosc,1,1
yenisey,akhmat grozny,1,1
anzhi,ufa,0,0
krasnodar,ural,2,0
rostov,cska moskva,0,0
spartak moskva,lokomotiv moskva,2,1
arsenal tula,zenit,4,2
samara,rostov,1,0
cska moskva,yenisey,2,1
lokomotiv moskva,orenburg,2,1
anzhi,spartak moskva,0,3
dynamo mosc,ural,4,0
krasnodar,ufa,1,1
zenit,rubin kazan,1,2
akhmat grozny,arsenal tula,2,0
orenburg,anzhi,0,1
ural,zenit,0,1
arsenal tula,cska moskva,2,0
lokomotiv moskva,samara,2,2
rubin kazan,akhmat grozny,1,0
ufa,dynamo mosc,1,2
yenisey,rostov,1,1
spartak moskva,krasnodar,1,1
samara,yenisey,4,0
cska moskva,rubin kazan,3,0
rostov,arsenal tula,0,0
zenit,ufa,2,1
dynamo mosc,spartak moskva,0,1
anzhi,lokomotiv moskva,0,2
akhmat grozny,ural,1,1
krasnodar,orenburg,2,2
anzhi,samara,0,2
orenburg,dynamo mosc,1,0
ural,cska moskva,0,1
rubin kazan,rostov,0,2
arsenal tula,yenisey,2,0
ufa,akhmat grozny,0,1
lokomotiv moskva,krasnodar,1,0
spartak moskva,zenit,1,1
samara,arsenal tula,0,1
yenisey,rubin kazan,1,1
dynamo mosc,lokomotiv moskva,0,1
akhmat grozny,spartak moskva,1,3
rostov,ural,2,1
zenit,orenburg,3,1
cska moskva,ufa,2,2
krasnodar,anzhi,5,0
orenburg,samara,3,1
anzhi,dynamo mosc,1,1
krasnodar,samara,1,0
spartak moskva,cska moskva,0,2
ufa,rostov,1,0
ural,yenisey,3,2
rubin kazan,arsenal tula,0,0
lokomotiv moskva,zenit,1,1
orenburg,akhmat grozny,1,3
samara,rubin kazan,1,0
yenisey,ufa,0,0
cska moskva,orenburg,2,3
arsenal tula,ural,0,0
akhmat grozny,lokomotiv moskva,1,3
dynamo mosc,krasnodar,1,1
zenit,anzhi,5,0
rostov,spartak moskva,2,1
anzhi,akhmat grozny,0,1
ufa,arsenal tula,1,2
orenburg,rostov,3,0
dynamo mosc,samara,1,0
lokomotiv moskva,cska moskva,1,1
krasnodar,zenit,2,3
ural,rubin kazan,2,1
spartak moskva,yenisey,2,0
akhmat grozny,krasnodar,1,1
rostov,lokomotiv moskva,1,2
rubin kazan,ufa,1,1
cska moskva,anzhi,2,0
zenit,dynamo mosc,2,0
yenisey,orenburg,2,1
samara,ural,0,1
arsenal tula,spartak moskva,3,0
anzhi,rostov,1,1
dynamo mosc,akhmat grozny,0,0
ufa,ural,4,1
lokomotiv moskva,yenisey,2,1
zenit,samara,4,2
krasnodar,cska moskva,2,0
orenburg,arsenal tula,1,1
spartak moskva,rubin kazan,1,1
yenisey,anzhi,3,1
rubin kazan,orenburg,2,0
ural,spartak moskva,0,1
akhmat grozny,zenit,1,1
arsenal tula,lokomotiv moskva,2,0
samara,ufa,1,1
cska moskva,dynamo mosc,2,2
rostov,krasnodar,1,1
orenburg,ural,2,2
dynamo mosc,rostov,0,0
anzhi,arsenal tula,0,1
lokomotiv moskva,rubin kazan,4,0
yenisey,krasnodar,0,4
akhmat grozny,samara,2,1
spartak moskva,ufa,1,0
zenit,cska moskva,3,1
ufa,orenburg,0,2
cska moskva,akhmat grozny,1,0
samara,spartak moskva,1,2
ural,lokomotiv moskva,2,2
yenisey,dynamo mosc,2,2
arsenal tula,krasnodar,0,3
rostov,zenit,1,0
rubin kazan,anzhi,0,0
akhmat grozny,rostov,1,0
lokomotiv moskva,ufa,1,0
dynamo mosc,arsenal tula,3,3
krasnodar,rubin kazan,1,0
zenit,yenisey,4,1
cska moskva,samara,6,0
anzhi,ural,0,2
orenburg,spartak moskva,2,0
ankaragucu,galatasaray,1,3
sivasspor,alanyaspor,1,0
rizespor,kasimpasa,2,3
fenerbahce,bursaspor,2,1
basaksehir,trabzonspor,2,0
konyaspor,bb erzurumspor,3,2
besiktas,akhisarspor,2,1
goztepe,yeni malspor,1,3
kayserispor,antalyaspor,2,0
trabzonspor,sivasspor,3,1
bursaspor,kayserispor,0,0
antalyaspor,konyaspor,3,3
yeni malspor,fenerbahce,1,0
akhisarspor,rizespor,1,1
bb erzurumspor,besiktas,1,3
alanyaspor,ankaragucu,0,2
galatasaray,goztepe,1,0
kasimpasa,basaksehir,2,1
rizespor,bb erzurumspor,0,0
ankaragucu,trabzonspor,2,2
kayserispor,yeni malspor,0,0
goztepe,fenerbahce,1,0
sivasspor,kasimpasa,0,3
besiktas,antalyaspor,2,3
konyaspor,bursaspor,1,1
basaksehir,akhisarspor,3,1
galatasaray,alanyaspor,6,0
yeni malspor,konyaspor,0,1
akhisarspor,sivasspor,1,1
fenerbahce,kayserispor,2,3
trabzonspor,galatasaray,4,0
alanyaspor,goztepe,1,0
bb erzurumspor,basaksehir,0,1
kasimpasa,ankaragucu,2,1
antalyaspor,rizespor,2,1
bursaspor,besiktas,1,1
galatasaray,kasimpasa,4,1
ankaragucu,akhisarspor,1,0
besiktas,yeni malspor,1,0
besiktas,yeni malspor,2,1
goztepe,kayserispor,2,0
basaksehir,antalyaspor,4,0
sivasspor,bb erzurumspor,2,2
rizespor,bursaspor,1,1
konyaspor,fenerbahce,0,1
alanyaspor,trabzonspor,1,0
bb erzurumspor,ankaragucu,0,1
bursaspor,basaksehir,0,0
yeni malspor,rizespor,1,0
kayserispor,konyaspor,0,2
trabzonspor,goztepe,1,2
kasimpasa,alanyaspor,1,2
akhisarspor,galatasaray,3,0
antalyaspor,sivasspor,2,1
fenerbahce,besiktas,1,1
galatasaray,bb erzurumspor,1,0
alanyaspor,akhisarspor,2,1
trabzonspor,kasimpasa,4,2
besiktas,kayserispor,2,0
sivasspor,bursaspor,2,0
goztepe,konyaspor,3,2
rizespor,fenerbahce,3,0
ankaragucu,antalyaspor,0,1
basaksehir,yeni malspor,1,1
kasimpasa,goztepe,3,1
kayserispor,rizespor,2,2
bursaspor,ankaragucu,1,0
bb erzurumspor,alanyaspor,1,0
antalyaspor,galatasaray,0,1
yeni malspor,sivasspor,4,4
fenerbahce,basaksehir,0,0
akhisarspor,trabzonspor,1,3
konyaspor,besiktas,2,2
galatasaray,bursaspor,1,1
kasimpasa,akhisarspor,5,0
basaksehir,kayserispor,1,0
sivasspor,fenerbahce,0,0
rizespor,konyaspor,1,1
ankaragucu,yeni malspor,1,0
alanyaspor,antalyaspor,0,1
goztepe,besiktas,2,0
trabzonspor,bb erzurumspor,0,0
bursaspor,alanyaspor,2,0
bb erzurumspor,kasimpasa,1,1
konyaspor,basaksehir,0,1
antalyaspor,trabzonspor,1,1
kayserispor,sivasspor,2,0
yeni malspor,galatasaray,2,0
fenerbahce,ankaragucu,1,3
besiktas,rizespor,4,1
akhisarspor,goztepe,1,0
galatasaray,fenerbahce,2,2
kasimpasa,antalyaspor,1,2
akhisarspor,bb erzurumspor,1,1
basaksehir,besiktas,1,0
ankaragucu,kayserispor,3,1
alanyaspor,yeni malspor,0,1
trabzonspor,bursaspor,1,1
goztepe,rizespor,2,0
sivasspor,konyaspor,0,0
yeni malspor,trabzonspor,5,0
bb erzurumspor,goztepe,2,1
konyaspor,ankaragucu,2,0
rizespor,basaksehir,1,2
kayserispor,galatasaray,0,3
bursaspor,kasimpasa,1,2
fenerbahce,alanyaspor,2,0
antalyaspor,akhisarspor,1,2
besiktas,sivasspor,1,2
galatasaray,konyaspor,1,1
bb erzurumspor,antalyaspor,1,0
alanyaspor,kayserispor,5,0
ankaragucu,besiktas,1,4
sivasspor,rizespor,1,1
akhisarspor,bursaspor,2,4
kasimpasa,yeni malspor,3,0
trabzonspor,fenerbahce,2,1
goztepe,basaksehir,0,2
konyaspor,alanyaspor,2,0
rizespor,ankaragucu,1,1
basaksehir,sivasspor,0,1
antalyaspor,goztepe,1,0
kayserispor,trabzonspor,0,2
bursaspor,bb erzurumspor,2,1
besiktas,galatasaray,1,0
yeni malspor,akhisarspor,1,1
fenerbahce,kasimpasa,2,2
alanyaspor,besiktas,0,0
sivasspor,goztepe,2,0
trabzonspor,konyaspor,3,0
galatasaray,rizespor,2,2
bb erzurumspor,yeni malspor,1,3
bursaspor,antalyaspor,0,2
akhisarspor,fenerbahce,3,0
ankaragucu,basaksehir,0,1
kasimpasa,kayserispor,0,3
goztepe,bursaspor,0,0
rizespor,alanyaspor,1,1
sivasspor,ankaragucu,4,0
konyaspor,kasimpasa,3,2
basaksehir,galatasaray,1,1
yeni malspor,antalyaspor,2,0
kayserispor,akhisarspor,1,0
besiktas,trabzonspor,2,2
fenerbahce,bb erzurumspor,2,2
ankaragucu,goztepe,0,3
alanyaspor,basaksehir,1,1
kasimpasa,besiktas,4,1
bb erzurumspor,rizespor,4,1
bursaspor,yeni malspor,1,1
galatasaray,sivasspor,4,2
antalyaspor,fenerbahce,0,0
akhisarspor,konyaspor,0,0
akhisarspor,besiktas,0,3
yeni malspor,goztepe,3,2
bb erzurumspor,konyaspor,1,2
antalyaspor,kayserispor,0,0
galatasaray,ankaragucu,6,0
alanyaspor,sivasspor,2,0
trabzonspor,basaksehir,2,4
kasimpasa,rizespor,0,1
bursaspor,fenerbahce,1,1
besiktas,bb erzurumspor,1,1
kayserispor,bursaspor,1,1
goztepe,galatasaray,0,1
rizespor,akhisarspor,3,1
konyaspor,antalyaspor,2,0
sivasspor,trabzonspor,1,1
ankaragucu,alanyaspor,0,2
fenerbahce,yeni malspor,3,2
basaksehir,kasimpasa,2,0
fenerbahce,goztepe,2,0
yeni malspor,kayserispor,1,1
trabzonspor,ankaragucu,1,0
kasimpasa,sivasspor,1,3
alanyaspor,galatasaray,1,1
bb erzurumspor,rizespor,0,1
akhisarspor,basaksehir,0,3
antalyaspor,besiktas,2,6
bursaspor,konyaspor,0,0
kayserispor,fenerbahce,1,0
rizespor,antalyaspor,1,1
basaksehir,bb erzurumspor,1,1
besiktas,bursaspor,2,0
konyaspor,yeni malspor,1,1
goztepe,alanyaspor,3,2
galatasaray,trabzonspor,3,1
ankaragucu,kasimpasa,3,0
sivasspor,akhisarspor,2,1
yeni malspor,besiktas,1,2
akhisarspor,ankaragucu,0,0
bursaspor,rizespor,0,2
fenerbahce,konyaspor,1,1
bb erzurumspor,sivasspor,4,2
kayserispor,goztepe,2,1
trabzonspor,alanyaspor,0,2
kasimpasa,galatasaray,1,4
antalyaspor,basaksehir,0,1
goztepe,trabzonspor,1,3
rizespor,yeni malspor,3,0
sivasspor,antalyaspor,1,2
alanyaspor,kasimpasa,3,0
ankaragucu,bb erzurumspor,2,1
konyaspor,kayserispor,0,1
galatasaray,akhisarspor,1,0
basaksehir,bursaspor,3,0
besiktas,fenerbahce,3,3
antalyaspor,ankaragucu,2,4
bursaspor,sivasspor,3,2
kayserispor,besiktas,2,2
fenerbahce,rizespor,3,2
konyaspor,goztepe,1,1
yeni malspor,basaksehir,0,2
bb erzurumspor,galatasaray,1,1
akhisarspor,alanyaspor,3,1
kasimpasa,trabzonspor,2,2
sivasspor,yeni malspor,2,0
trabzonspor,akhisarspor,2,1
ankaragucu,bursaspor,0,0
basaksehir,fenerbahce,2,1
alanyaspor,bb erzurumspor,2,1
goztepe,kasimpasa,0,0
rizespor,kayserispor,3,0
besiktas,konyaspor,3,2
galatasaray,antalyaspor,5,0
fenerbahce,sivasspor,2,1
konyaspor,rizespor,0,2
akhisarspor,kasimpasa,2,3
bb erzurumspor,trabzonspor,0,1
antalyaspor,alanyaspor,3,0
besiktas,goztepe,1,0
yeni malspor,ankaragucu,3,1
kayserispor,basaksehir,1,1
bursaspor,galatasaray,2,3
trabzonspor,antalyaspor,4,1
alanyaspor,bursaspor,1,0
sivasspor,kayserispor,1,3
galatasaray,yeni malspor,3,0
kasimpasa,bb erzurumspor,2,1
ankaragucu,fenerbahce,1,1
goztepe,akhisarspor,0,1
basaksehir,konyaspor,2,0
rizespor,besiktas,2,7
bursaspor,trabzonspor,0,1
rizespor,goztepe,1,0
konyaspor,sivasspor,1,1
besiktas,basaksehir,2,1
kayserispor,ankaragucu,0,2
antalyaspor,kasimpasa,1,0
yeni malspor,alanyaspor,1,1
fenerbahce,galatasaray,1,1
bb erzurumspor,akhisarspor,2,1
kasimpasa,bursaspor,1,1
akhisarspor,antalyaspor,1,2
trabzonspor,yeni malspor,2,1
goztepe,bb erzurumspor,0,1
galatasaray,kayserispor,3,1
ankaragucu,konyaspor,0,0
basaksehir,rizespor,1,1
alanyaspor,fenerbahce,1,0
sivasspor,besiktas,1,2
basaksehir,goztepe,0,2
rizespor,sivasspor,0,0
antalyaspor,bb erzurumspor,1,1
fenerbahce,trabzonspor,1,1
kayserispor,alanyaspor,1,1
bursaspor,akhisarspor,0,0
besiktas,ankaragucu,4,1
konyaspor,galatasaray,0,0
yeni malspor,kasimpasa,2,1
sivasspor,basaksehir,0,0
ankaragucu,rizespor,2,2
bb erzurumspor,bursaspor,2,0
kasimpasa,fenerbahce,1,3
goztepe,antalyaspor,4,1
akhisarspor,yeni malspor,0,2
galatasaray,besiktas,2,0
alanyaspor,konyaspor,2,4
trabzonspor,kayserispor,4,2
antalyaspor,bursaspor,0,1
rizespor,galatasaray,2,3
goztepe,sivasspor,3,3
fenerbahce,akhisarspor,2,1
konyaspor,trabzonspor,2,2
kayserispor,kasimpasa,2,1
yeni malspor,bb erzurumspor,3,1
basaksehir,ankaragucu,2,1
besiktas,alanyaspor,2,1
kasimpasa,konyaspor,1,1
trabzonspor,besiktas,2,1
antalyaspor,yeni malspor,3,0
akhisarspor,kayserispor,2,2
bursaspor,goztepe,0,0
alanyaspor,rizespor,1,1
galatasaray,basaksehir,2,1
ankaragucu,sivasspor,3,1
bb erzurumspor,fenerbahce,0,1
basaksehir,alanyaspor,1,1
besiktas,kasimpasa,3,2
sivasspor,galatasaray,4,3
rizespor,trabzonspor,2,3
konyaspor,akhisarspor,0,0
goztepe,ankaragucu,2,1
yeni malspor,bursaspor,1,2
kayserispor,bb erzurumspor,0,2
fenerbahce,antalyaspor,3,1
dukla prague,plzen,1,3
fastav zlin,mlada boleslav,3,2
pribram,teplice,1,1
slovan liberec,karvina,1,0
sparta prague,opava,2,0
bohemians,slovacko,2,1
sigma olomouc,slavia praha,0,3
banik ostrava,jablonec,1,0
mlada boleslav,sigma olomouc,0,4
slovacko,banik ostrava,2,1
pribram,bohemians,4,2
opava,fastav zlin,1,2
slavia praha,karvina,4,0
teplice,dukla prague,5,2
jablonec,sparta prague,1,2
plzen,slovan liberec,1,0
slavia praha,opava,3,1
fastav zlin,jablonec,1,1
slovan liberec,teplice,2,2
banik ostrava,pribram,3,0
sigma olomouc,plzen,0,1
karvina,mlada boleslav,3,4
sparta prague,slovacko,1,0
dukla prague,bohemians,0,1
mlada boleslav,slavia praha,0,1
jablonec,karvina,4,1
pribram,dukla prague,4,0
opava,slovan liberec,1,1
plzen,fastav zlin,1,0
slovacko,sigma olomouc,3,1
teplice,sparta prague,0,4
bohemians,banik ostrava,0,1
dukla prague,slovacko,1,2
fastav zlin,teplice,1,0
mlada boleslav,opava,6,1
slovan liberec,bohemians,1,1
slavia praha,jablonec,0,2
karvina,plzen,0,1
sparta prague,pribram,2,2
sigma olomouc,banik ostrava,1,4
bohemians,sparta prague,1,1
pribram,slovan liberec,1,3
banik ostrava,dukla prague,2,0
opava,karvina,1,3
teplice,slavia praha,0,3
plzen,mlada boleslav,6,1
jablonec,sigma olomouc,3,0
slovacko,fastav zlin,0,4
sparta prague,dukla prague,2,0
slovan liberec,banik ostrava,0,0
mlada boleslav,teplice,1,1
fastav zlin,pribram,3,0
opava,jablonec,2,0
slavia praha,plzen,4,0
karvina,slovacko,2,1
sigma olomouc,bohemians,2,3
bohemians,fastav zlin,0,1
pribram,sigma olomouc,1,0
plzen,opava,1,0
dukla prague,slovan liberec,2,0
jablonec,mlada boleslav,0,3
teplice,karvina,2,1
slovacko,slavia praha,1,3
banik ostrava,sparta prague,0,1
fastav zlin,banik ostrava,1,2
sigma olomouc,dukla prague,1,0
opava,teplice,2,0
karvina,pribram,4,1
mlada boleslav,slovacko,5,1
sparta prague,slovan liberec,4,1
jablonec,plzen,3,0
bohemians,karvina,0,0
plzen,sparta prague,1,0
dukla prague,fastav zlin,1,1
slovacko,opava,0,2
pribram,mlada boleslav,3,0
banik ostrava,slavia praha,2,1
teplice,jablonec,1,2
fastav zlin,slovan liberec,0,1
mlada boleslav,banik ostrava,2,2
sigma olomouc,sparta prague,1,0
karvina,dukla prague,0,2
opava,bohemians,0,1
plzen,teplice,1,0
jablonec,slovacko,2,0
slavia praha,pribram,4,1
bohemians,plzen,2,2
sigma olomouc,fastav zlin,1,1
slovacko,teplice,0,2
banik ostrava,karvina,1,1
pribram,jablonec,0,6
dukla prague,opava,1,0
slovan liberec,slavia praha,0,1
sparta prague,mlada boleslav,4,1
teplice,banik ostrava,0,1
mlada boleslav,bohemians,3,0
opava,pribram,5,0
karvina,sigma olomouc,2,3
fastav zlin,sparta prague,1,0
jablonec,slovan liberec,0,0
slavia praha,dukla prague,4,1
bohemians,teplice,2,3
banik ostrava,plzen,0,1
dukla prague,jablonec,2,6
pribram,slovacko,0,3
sigma olomouc,opava,2,2
fastav zlin,karvina,2,1
sparta prague,slavia praha,2,2
slovan liberec,mlada boleslav,1,0
mlada boleslav,dukla prague,0,0
karvina,sparta prague,1,3
slovacko,slovan liberec,0,1
opava,banik ostrava,2,1
teplice,sigma olomouc,0,0
jablonec,bohemians,3,1
plzen,pribram,1,1
slavia praha,fastav zlin,3,1
slovan liberec,plzen,1,1
dukla prague,teplice,1,0
karvina,slavia praha,1,3
banik ostrava,slovacko,0,3
fastav zlin,opava,2,0
bohemians,pribram,2,2
sigma olomouc,mlada boleslav,0,4
sparta prague,jablonec,0,0
teplice,slovan liberec,1,0
mlada boleslav,karvina,1,1
slovacko,sparta prague,2,1
pribram,banik ostrava,0,2
bohemians,dukla prague,0,0
plzen,sigma olomouc,2,0
jablonec,fastav zlin,4,0
opava,slavia praha,2,3
fastav zlin,plzen,0,2
dukla prague,pribram,1,2
sigma olomouc,slovacko,1,0
banik ostrava,bohemians,2,0
karvina,jablonec,2,1
slavia praha,mlada boleslav,3,2
